Title,City,Country_codehire_Ukrainians,Company_size_from,Company_size_to,if_permanent,salary_from_permanent,salary_to_permanent,salary_currency_permanent,if_b2b,salary_from_b2b,salary_to_b2b,salary_currency_b2b,if_mandate,salary_from_man,Marker_icon,Workplace_type,Experience_level,Published_at,Remote_interview,Remote,Open_to_date,salary_to_mandate,salary_currency_mandate,if_other,salary_from_other,salary_to_other,salary_currency_other,currency_exchange_rate,skills_name_0,skills_value_0,skills_name_1,skills_value_1,skills_name_2,skills_value_2
Senior Frontend Software Engineer,London,GB,javascript,remote,senior,2022-07-31T11:00:14.548Z,true,true,True,25.0,0.0,true,32996.602150537634,47136.3870967742,gbp,true,32996.602150537634,47136.3870967742,gbp,false,0,0,unknown,false,0,0,unknown,0.1768060836501901,React,5,TypeScript,5,unknown,0
Sr. Backend Engineer,Berlin,DE,java,remote,senior,2022-07-07T10:25:00.000Z,true,true,True,20.0,0.0,true,32487.527428918253,46409.162425883565,gbp,true,32487.527428918253,46409.162425883565,gbp,false,0,0,unknown,false,0,0,unknown,0.17957660867742611,Kotlin,3,Backend,4,Java,4
Sr. Backend Engineer,Katowice,PL,java,remote,senior,2022-05-31T11:32:00.000Z,true,true,True,20.0,0.0,true,31387.43804176748,44837.660034297245,gbp,true,31387.43804176748,44837.660034297245,gbp,false,0,0,unknown,false,0,0,unknown,0.18587053815085691,Kotlin,3,Backend,4,Java,4
Sr. Backend Engineer,London,GB,java,remote,senior,2022-05-25T17:06:36.442Z,true,true,True,20.0,0.0,true,31606.675655079434,45150.845887801173,gbp,true,31606.675655079434,45150.845887801173,gbp,false,0,0,unknown,false,0,0,unknown,0.18458125946764767,Kotlin,3,Backend,4,Java,4
Python Developer (4 days/week),Białystok,PL,python,remote,mid,2022-06-30T14:57:00.000Z,true,true,False,100.0,0.0,false,0,0,unknown,true,13116.94243766022,17489.256583546961,gbp,false,0,0,unknown,false,0,0,unknown,0.1829694695548354,Flask,3,English,4,Python,4
Python Developer (4 days/week),Kraków,PL,python,remote,mid,2022-06-15T13:15:00.000Z,true,true,False,100.0,0.0,false,0,0,unknown,true,12980.261328885181,17307.015105180242,gbp,false,0,0,unknown,false,0,0,unknown,0.184896123366888,Flask,3,English,4,Python,4
Mid Full-stack Engineer (React/TypeScript),Warszawa,PL,javascript,remote,mid,2022-05-19T11:35:00.000Z,true,true,True,10.0,20.0,false,0,0,unknown,true,16524.584385830934,24786.876578746407,gbp,false,0,0,unknown,false,0,0,unknown,0.1815476825288484,Node.js,2,TypeScript,3,React,3
Full-stack Engineer (React/TypeScript),Berlin,DE,javascript,remote,senior,2022-05-10T09:32:00.000Z,true,true,True,10.0,20.0,false,0,0,unknown,true,16537.22062532997,27562.03437554996,gbp,false,0,0,unknown,false,0,0,unknown,0.18140896030648079,Node.js,3,TypeScript,4,React,4
Senior/Regular Full-stack Engineer (React/TypeScript),London,GB,javascript,remote,senior,2022-05-09T07:04:00.000Z,true,true,True,10.0,20.0,false,0,0,unknown,true,16476.963503649637,27461.605839416061,gbp,false,0,0,unknown,false,0,0,unknown,0.18207238241047885,Node.js,3,TypeScript,4,React,4
Senior iOS Engineer,Londyn,GB,mobile,remote,senior,2022-04-22T11:45:00.000Z,true,true,False,1001,0.0,false,0,0,unknown,true,43630.046948356809,57989.302906043864,gbp,false,0,0,unknown,false,0,0,unknown,0.18106787758791373,Mobile,4,iOS,4,Swift,4
